Date,Town,State/Province,Latitude,Longitude,Number
10/23/2020,Jordan,NY,43.1,-76.5,2
10/23/2020,Kings Park,NY,40.9,-73.3,1
10/23/2020,Kingston,NY,42,-74,2
10/23/2020,Kingston,NY,41.9,-74.2,1
10/23/2020,Lexington,KY,38,-84.5,1
10/23/2020,Magnolia,NJ,39.8,-75,2
10/23/2020,Marble Falls,TX,30.6,-98.4,1
10/23/2020,Melrose,NY,42.8,-73.6,2
10/23/2020,Melrose,NY,42.8,-73.6,2
10/23/2020,Moneta,VA,37.2,-79.6,1
10/23/2020,Moneta,VA,37.2,-79.6,1
10/23/2020,Monterey,TN,36.2,-85.3,1
10/23/2020,Morrisville,PA,40.2,-74.9,1
10/23/2020,North Salem,NY,41.4,-73.6,1
10/23/2020,Ooltewah,TN,35.1,-85.1,1
10/23/2020,Ostrander,OH,40.2,-83.2,1
10/23/2020,Overland Park,KS,38.9,-94.7,1
10/23/2020,Petaluma,CA,38.2,-122.6,2
10/23/2020,Piqua,OH,40.1,-84.2,1
10/23/2020,Plainview,NY,40.8,-73.5,1
10/23/2020,Raymond,MS,32.3,-90.4,1
10/23/2020,Rockbridge,OH,39.6,-82.5,1
10/23/2020,San Antonio,TX,29.5,-98.4,23
10/23/2020,San Antonio,TX,29.4,-98.5,1
10/23/2020,Sayre,PA,42,-76.5,1
10/23/2020,Seymour,TN,35.9,-83.7,1
10/23/2020,Silver Spring,MD,39.1,-77,2
10/23/2020,Tulsa,OK,36,-95.9,2
10/23/2020,Tuscaloosa,AL,33.2,-87.6,2
10/23/2020,Waterford,CT,41.4,-72.1,2
10/24/2020,Acambaro,GUA,20,-100.7,25
10/24/2020,Austin,TX,30.4,-97.9,1
10/24/2020,Austin,TX,30.3,-97.8,3
10/24/2020,Birmingham,AL,33.3,-86.9,3
10/24/2020,Brigantine,NJ,39.4,-74.4,1
10/24/2020,Cedar Creek,TX,30.1,-97.5,6
10/24/2020,Chestertown,MD,39.2,-76.1,10
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Ellijay,GA,34.7,-84.5,6
10/24/2020,Gold Canyon,AZ,33.4,-111.5,1
10/24/2020,Grafton,MA,42.2,-71.7,1
10/24/2020,Marble Falls,TX,30.6,-98.4,2
10/24/2020,Montgomery Village,MD,39.2,-77.2,1
10/24/2020,New Braunfels,TX,29.7,-98.1,1
10/24/2020,New Brunswick,NJ,40.5,-74.4,2
10/24/2020,Newport News,VA,37.1,-76.5,6
10/24/2020,Palmyra,VA,37.9,-78.3,4
10/24/2020,Palmyra,VA,37.9,-78.3,4
10/24/2020,Palmyra,VA,37.9,-78.3,4
10/24/2020,Pepperell,MA,42.7,-71.6,1
10/24/2020,Plano,TX,33,-96.7,2
10/24/2020,Prairieville,LA,30.3,-91,1
10/24/2020,Princeton,NJ,40.4,-74.6,1
10/24/2020,Queretaro,QUE,20.7,-100.4,11
10/24/2020,Raleigh,NC,35.8,-78.6,1
10/24/2020,San Antonio,TX,29.5,-98.4,3
10/24/2020,Somerset,NJ,40.5,-74.5,1
10/24/2020,Spring,TX,30.1,-95.5,1
10/24/2020,Stamford,CT,41.1,-73.6,2
10/24/2020,Stoneville,NC,36.5,-79.9,1
10/24/2020,Tempe,AZ,33.4,-111.9,2
10/24/2020,Tempe,AZ,33.4,-111.9,1
10/24/2020,Tucker,GA,33.8,-84.2,1
10/24/2020,Tuscaloosa,AL,33.2,-87.5,2
10/24/2020,Walpole,NH,43.1,-72.4,1
10/24/2020,Williamsburg,VA,37.2,-76.8,2
10/25/2020,Almoloya de Alquisiras,MEX,18.9,-99.9,8
10/25/2020,Arlington,TX,32.7,-97.2,2
10/25/2020,Atlanta,GA,33.8,-84.3,1
10/25/2020,Austin,TX,30.3,-97.8,3
10/25/2020,Austin,TX,30.3,-97.7,24
10/25/2020,Austin,TX,30.3,-97.7,3
10/25/2020,Austin,TX,30.3,-97.8,9
10/25/2020,Austin,TX,30.3,-97.8,4
10/25/2020,Austin,TX,30.3,-97.8,4
10/25/2020,Austin,TX,30.3,-97.9,1
10/25/2020,Austin,TX,30.3,-97.8,6
10/25/2020,Berkeley,CA,37.9,-122.3,1
10/25/2020,Birmingham,AL,33.3,-86.9,5
10/25/2020,Boerne,TX,29.8,-98.8,1
10/25/2020,El Cerrito,CA,37.9,-122.3,1
10/25/2020,Fredericksburg,TX,30.3,-98.9,1
10/25/2020,Houston,TX,29.8,-95.5,36
10/25/2020,Juan Aldama,ZAC,24.3,-103.4,3
10/25/2020,Marble Falls,TX,30.6,-98.4,12
10/25/2020,Pensacola,FL,30.5,-87.3,1
10/25/2020,Pinos,ZAC,22.6,-101.5,25
10/25/2020,San Antonio,TX,29.4,-98.8,1
10/25/2020,San Antonio,TX,29.5,-98.4,7
10/25/2020,Seguin,TX,29.5,-98,1
10/25/2020,Southcentral,US Virgin Islands,17.7,-64.7,1
10/25/2020,Tempe,AZ,33.4,-111.9,2
10/25/2020,Tuscola,TX,32.2,-99.8,5
10/25/2020,York,PA,40,-76.7,1
10/26/2020,Austin,TX,30.2,-97.8,25
10/26/2020,Austin,TX,30.4,-97.9,10
10/26/2020,Birmingham,AL,33.3,-86.9,2
10/26/2020,Bridgeville,DE,38.7,-75.6,1
10/26/2020,Cape May,NJ,38.9,-74.9,37
10/26/2020,Cary,NC,35.8,-78.8,1
10/26/2020,Chestertown,MD,39.2,-76.1,1
10/26/2020,Cibolo,TX,29.6,-98.2,1
10/26/2020,Emeryville,CA,37.8,-122.3,1
10/26/2020,Frankfort,IN,40.2,-86.5,1
10/26/2020,Galveston,TX,29.3,-94.9,12
10/26/2020,Greenfield,CA,36.3,-121.2,1
10/26/2020,Jenner,CA,38.5,-123.3,1
10/26/2020,Los Osos,CA,35.3,-120.8,1
10/26/2020,Missouri City,TX,29.6,-95.6,5
10/26/2020,Moneta,VA,37.2,-79.6,1
10/26/2020,Oakland,CA,37.8,-122.2,3
10/26/2020,Ocean Springs,MS,30.4,-88.8,5
10/26/2020,Ocean Springs,MS,30.4,-88.8,5
10/26/2020,Ocean Springs,MS,30.4,-88.8,5
10/26/2020,Oxnard,CA,34.2,-119.1,4
10/26/2020,Petaluma,CA,38.2,-122.6,1
10/26/2020,San Antonio,TX,29.5,-98.4,8
10/26/2020,San Antonio,TX,29.5,-98.4,8
10/27/2020,,,40.4,-73.8,1
10/27/2020,Birmingham,AL,33.3,-86.9,1
10/27/2020,Brigantine,NJ,39.4,-74.4,2
10/27/2020,Cape May,NJ,38.9,-74.9,9
10/27/2020,Chicago,IL,42,-87.7,1
10/27/2020,Clemson,SC,34.7,-82.8,7
10/27/2020,Derwood,MD,39.1,-77.1,1
10/27/2020,Downingtown,PA,40,-75.7,1
10/27/2020,Durham,NC,35.9,-78.8,1
10/27/2020,Ellicott City,MD,39.3,-76.8,10
10/27/2020,Fairfield,PA,39.8,-77.4,1
10/27/2020,Fort Mill,SC,34.9,-80.9,2
10/27/2020,Houston,TX,29.9,-95.7,7
10/27/2020,Leesburg,FL,28.8,-81.9,7
10/27/2020,Lexington,KY,38,-84.5,1
10/27/2020,Manvel,TX,29.5,-95.4,1
10/27/2020,Mckinney,TX,33.2,-96.7,2
10/27/2020,Naples,FL,26.1,-81.7,1
10/27/2020,New Orleans,LA,30,-90.1,8
10/27/2020,Ooltewah,TN,35.1,-85.1,1
10/27/2020,Rumson,NJ,40.4,-74,1
10/27/2020,San Antonio,TX,29.5,-98.4,0
10/27/2020,San Antonio,TX,29.4,-98.5,1
10/27/2020,Sea Bright,NJ,40.4,-73.8,1
10/27/2020,Sea Isle City,NJ,39.2,-74.7,10
10/27/2020,Southcentral,US Virgin Islands,17.7,-64.8,1
10/27/2020,Summit Point,WV,39.2,-78,1
10/27/2020,Town of Rhinebeck,NY,41.9,-73.9,1
10/27/2020,Watsonville,CA,37,-121.8,1
10/27/2020,Wildwood Crest,NJ,39,-74.8,10
10/27/2020,Zitácuaro,Michoacán de Ocampo,19.5,-100.4,13
10/28/2020,Austin,TX,30.3,-97.7,1
10/28/2020,Austin,TX,30.3,-97.8,1
10/28/2020,Bowie,MD,39,-76.7,1
10/28/2020,Brick,NJ,40.1,-74.1,1
10/28/2020,Brigantine,NJ,39.4,-74.4,9
10/28/2020,Cape Charles,VA,37.3,-76,4
10/28/2020,Chesapeake,VA,36.9,-76.4,1
10/28/2020,Clemmons,NC,36,-80.4,5
10/28/2020,Durham,NC,35.9,-78.8,1
10/28/2020,Edgewater,MD,38.9,-76.5,2
10/28/2020,Fredericksburg,VA,38.3,-77.5,1
10/28/2020,Fredericksburg,VA,38.3,-77.5,1
10/28/2020,Fredericksburg,VA,38.3,-77.5,1
10/28/2020,Graniteville,SC,33.6,-81.8,1
10/28/2020,Jekyll Island,GA,31.1,-81.4,20
10/28/2020,Morganton,NC,35.8,-81.7,3
10/28/2020,Newport News,VA,37.1,-76.5,3
10/28/2020,Oakland,CA,37.8,-122.3,3
10/28/2020,Ooltewah,TN,35.1,-85.1,1
10/28/2020,Petaluma,CA,38.2,-122.6,1
10/28/2020,Rocky Mount,NC,35.9,-77.8,1
10/28/2020,San Antonio,TX,29.5,-98.4,1
10/28/2020,San Antonio,TX,29.5,-98.4,1
10/28/2020,Soledad,CA,36.4,-121.3,1
10/28/2020,Talmo,GA,34.2,-83.7,3
10/28/2020,Tempe,AZ,33.4,-111.9,2
10/29/2020,Atlanta,GA,33.9,-84.2,1
10/29/2020,Austin,TX,30.2,-97.8,3
10/29/2020,Austin,TX,30.3,-97.8,6
10/29/2020,Bedford,VA,37.4,-79.6,1
10/29/2020,Chattanooga,TN,35.1,-85.3,1
10/29/2020,Marble Falls,TX,30.6,-98.4,2
10/29/2020,Murfreesboro,TN,35.9,-86.4,1
10/29/2020,Ooltewah,TN,35.1,-85.1,1
10/29/2020,Plano,TX,33.1,-96.8,1
10/29/2020,Point Pelee National Park,ON,42,-82.5,1
10/29/2020,Santa Barbara,CA,34.4,-119.7,1
10/29/2020,Southcentral,US Virgin Islands,17.7,-64.7,1
10/29/2020,Tuckerton,NJ,39.6,-74.3,4
10/29/2020,Waverly,IL,39.6,-90,1
10/29/2020,Weaverville,NC,35.7,-82.6,2
10/30/2020,Azusa,CA,34.1,-117.9,1
10/30/2020,Bay City,TX,28.6,-96,50
10/30/2020,Chandler,AZ,33.3,-111.8,1
10/30/2020,Cibolo,TX,29.6,-98.2,1
10/30/2020,Corpus Christi,TX,27.8,-97.4,1
10/30/2020,Fort Myers,FL,26.5,-81.8,1
10/30/2020,Front Royal,VA,39,-78.1,1
10/30/2020,Galveston,TX,29.2,-94.9,20
10/30/2020,Houston,TX,29.8,-95.4,1
10/30/2020,Houston,TX,29.6,-95.4,2
10/30/2020,Howe,OK,35,-94.6,1
10/30/2020,Marble Falls,TX,30.6,-98.4,10
10/30/2020,Milford,TX,32.1,-96.9,2
10/30/2020,Myrtle Beach,SC,33.7,-78.8,70
10/30/2020,North Richland Hills,TX,32.9,-97.2,2
10/30/2020,Plano,TX,33.1,-96.8,3
10/30/2020,Richardson,TX,32.9,-96.7,2
10/30/2020,Ridgedale,MO,36.5,-93.3,1
10/30/2020,San Antonio,TX,29.5,-98.6,1
10/30/2020,San Diego,CA,32.8,-117.1,2
10/31/2020,Apalachicola,FL,29.7,-85,10
10/31/2020,Austin,TX,30.3,-97.9,20
10/31/2020,Austin,TX,30.3,-97.8,1
10/31/2020,Austin,TX,30.4,-97.9,10
10/31/2020,Austin,TX,30.3,-97.7,25
10/31/2020,Austin,TX,30.3,-97.7,2
10/31/2020,Cape Charles,VA,37.3,-76,1
10/31/2020,Cape Charles,VA,37.2,-76,4
10/31/2020,Carrollton,TX,33,-96.9,1
10/31/2020,Dallas,TX,32.8,-96.8,2
10/31/2020,Edmond,OK,35.6,-97.5,1
10/31/2020,Fairfield,CA,38.2,-122.1,1
10/31/2020,Fort Wayne,IN,41.1,-85.1,1
10/31/2020,Gause,TX,30.7,-96.7,8
10/31/2020,Houston,TX,29.6,-95.1,1
10/31/2020,Junction,TX,30.5,-99.8,1
10/31/2020,Marana,AZ,32.4,-111.2,1
10/31/2020,Marble Falls,TX,30.6,-98.4,11
10/31/2020,Nashville,TN,36.2,-86.9,1
10/31/2020,North Richland Hills,TX,32.9,-97.2,2
10/31/2020,Oakland,CA,37.8,-122.2,2
10/31/2020,Petaluma,CA,38.2,-122.6,1
10/31/2020,Plano,TX,33,-96.7,4
10/31/2020,Red Oak,TX,32.6,-96.9,125
10/31/2020,Round Rock,TX,30.5,-97.7,1
10/31/2020,Salado,TX,30.9,-97.5,15
10/31/2020,San Marcos,TX,29.9,-97.9,1
10/31/2020,Silver Spring,MD,39.1,-77,1
10/31/2020,Silver Spring,MD,39.1,-77,1
10/31/2020,Spring,TX,30.1,-95.4,3
10/31/2020,Spring,TX,30.2,-95.5,2
10/31/2020,Tampa,FL,28.1,-82.5,1
10/31/2020,Tempe,AZ,33.4,-111.9,1
10/31/2020,Valdosta,GA,30.9,-83.3,1
11/1/2020,Cantonment,FL,30.7,-87.4,2
11/1/2020,Chandler,AZ,33.3,-111.9,2
11/1/2020,Corpus Christi,TX,27.7,-97.3,1
11/1/2020,Destin,FL,30.4,-86.4,1
